Date,Name,Year,Letterboxd URI,Rating
2022-01-31,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2022-02-04,The Social Network,2010,https://boxd.it/17ue,5
2022-02-06,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2022-02-07,Hotel Chevalier,2007,https://boxd.it/21Ic,4
2022-02-07,Bottle Rocket,1996,https://boxd.it/1PDa,4
2022-02-08,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,3
2022-02-08,Seeking a Friend for the End of the World,2012,https://boxd.it/376g,5
2022-02-09,Maelstrom,2000,https://boxd.it/1caI,4
2022-02-09,Charli XCX: Alone Together,2021,https://boxd.it/tW2w,5
2022-02-15,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,4
2022-02-19,The Lost Daughter,2021,https://boxd.it/kgww,5
2022-02-20,The Matrix Revolutions,2003,https://boxd.it/2a12,4.5
2022-02-20,The Matrix Resurrections,2021,https://boxd.it/n87k,5
2022-02-22,Kimi,2022,https://boxd.it/u7LW,4
2022-02-23,The Open Window,2003,https://boxd.it/b12I,5
2022-02-24,Aquarius,2016,https://boxd.it/d6YQ,5
2022-02-27,Divine Love,2019,https://boxd.it/iegC,3
2022-02-28,"Paris, Je T'Aime",2006,https://boxd.it/273a,5
2022-03-01,Capitu,2008,https://boxd.it/fywY,5
2022-03-02,Green Vinyl,2004,https://boxd.it/5jlw,4
2022-03-03,To the Left of the Father,2001,https://boxd.it/gJU,4.5
2022-03-04,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-03-06,Drive My Car,2021,https://boxd.it/sv94,5
2022-03-07,The Batman,2022,https://boxd.it/eDGs,5
2022-03-13,Skies of Lebanon,2020,https://boxd.it/qF5W,4.5
2022-03-21,Love After Love,2020,https://boxd.it/oxTq,2
2022-03-21,Turning Red,2022,https://boxd.it/ipkq,5
2022-03-21,The Adam Project,2022,https://boxd.it/q2Dg,2.5
2022-03-23,CODA,2021,https://boxd.it/tbf4,4.5
2022-04-03,Benedetta,2021,https://boxd.it/gdNQ,3
2022-04-04,Frogs,2019,https://boxd.it/odsE,4
2022-04-04,The Factory,2011,https://boxd.it/4Fao,4
2022-04-04,Isle of Flowers,1989,https://boxd.it/POU,5
2022-04-04,Milk,1998,https://boxd.it/5dyk,5
2022-04-04,The Long Goodbye,2020,https://boxd.it/ppuO,5
2022-04-07,The Joy Of Things,2021,https://boxd.it/sIUs,4.5
2022-04-10,Pacarrete,2019,https://boxd.it/mxPa,4
2022-04-14,Fortaleza Hotel,2021,https://boxd.it/y7iI,5
2022-04-14,Madalena,2021,https://boxd.it/tgjA,4.5
2022-04-17,On the Beach at Night Alone,2017,https://boxd.it/fqEK,4
2022-04-18,The Day Dorival Faced the Guards,1986,https://boxd.it/5Mn2,5
2022-04-19,Querô,2007,https://boxd.it/MGS,4
2022-04-23,Private Desert,2021,https://boxd.it/wkT4,5
2022-05-02,Bye Bye Morons,2020,https://boxd.it/oekm,5
2022-05-02,Asako I & II,2018,https://boxd.it/hyNk,4
2022-05-03,Primavera,2022,https://boxd.it/zgK4,2.5
2022-05-03,Pixinguinha: Um Homem Carinhoso,2021,https://boxd.it/6JyS,3.5
2022-05-04,The Flying Gold of Arabuko,2020,https://boxd.it/vgQy,4
2022-05-04,"You, Me and Him",2007,https://boxd.it/34no,4
2022-05-05,Something Like That,2006,https://boxd.it/ceiG,4
